Area;Block
Abbotsdale ;12
Admiral's Park ;5
Adriaanse ;13
AECI site ;5
Agter Paarl ;10
Agulhas ;10
Airport City ;14
Airport Industria ;14
Albertinia ;7
Alexander Bay ;10
Algeria ;15
Alheit ;16
Alkantrant ;10
Amcor ;13
Arabella ;3
Arniston ;10
Ashton ;3
Askraal ;10
Atlantis rural ;10
Atlas Park ;14
Augrabies ;16
Aurora ;15
Avonwood ;13
Barandas ;3
Barrydale ;3
Beaufort West ;2
Belhar ;6
Bellingham ;8
Belrail ;6
Bereaville ;3
Betties Bay ;2
Bishop Lavis (Nooitgedacht,Sydneyvale) ;6
Bishop Lavis ;13
Bitterfontein ;15
Blaauwberg ;14
Blackheath Industrial ;15
Blanco ;12
Bloekombos ;16
Bloemsmond ;16
Blouputs ;16
Blue Downs ;1
Boegoeberg ;16
Boegoeberg dam ;16
Boggomsbaai ;7
Bon Chretien ;13
Bonnievale ;3
Boplaas ;16
Botfontein ;4
Bothasig ;14
Botrivier ;3
Brandvlei ;10
Bredasdorp ;10
Breerivier ;14
Brentwood Park ;1
Britannia Bay ;13
Broadlands ;5
Broodkraal ;15
Buffelsjagrivier ;10
Buffelspoort ;4
Buitensingel ;4
Bulletrap ;10
Burchell ;10
Burgundy Estate ;14
Bynabo ;16
Caledon ;3
Calitzdorp ;3
Calvinia ;10
Capex ;5
Carnarvon ;10
Carolusberg ;10
Ceres ;13
Chatsworth ;10
Chavonnes ;4
Citrusdal ;15
Clanwilliam ;15
Clarkes ;13
Cloetesville ;8
Club Mykonos ;13
Concordia ;10
ConnaughtEstate ;13
Contermanskloof ;14
Copperton ;10
County Fair ;15
Cravenby ;13
Crossroads ;1
Croydon ;8
Cuprum ;10
Danabaai ;7
Darling ;13
Dassenberg ;10
De Dam ;10
De Doorns ;4
De Grendal ;2
De Hoek ;15
De Rust ;3
De Zalze ;8
Delft ;1
Dias Strand ;7
Doringbaai ;15
Doringwater ;10
Du Noon ;14
Duinzicht ;7
Duiwelsnek ;16
Dysselsdorp ;3
Ebenhaeser ;15
Eendekuil ;15
Eersterivier ;2
Elandsbaai ;15
Elandskloof ;13
Elim ;3
Elsiesriver ;13
Esethu ;5
Esterhof ;11
Faure ;8
Fibre ;16
Firgrove ;8
Firlands ;5
Fisantekraal ;10
Fisherhaven ;5
Forest Heights ;1
Franschhoek ;8
Fraserburg ;4
Friersdale ;16
Gamsberg ;16
Gansbaai ;3
Ganzekraal ;13
Garies ;10
Genadendal ;3
George ;12
Goedverwaght ;15
Goodhouse ;10
Gordon's Bay ;5
Gouda ;11
Goudini Spa ;4
Gouritsmond ;7
Graafwater ;15
Grabouw ;5
Green Valley Nuts ;10
Greyton ;3
Groblershoop ;16
Groenbank ;10
Groot Brak ;7
Grootdrink ;16
